Method,Peak,Analysis,Before,After
E,peak 6,2º,7.66,6.47
E,peak 6,3º,7.48,6.31
E,peak 6,4º,7.54,
E,peak 6,5º,7.25,
E,peak 7,1º,8.15,6.36
E,peak 7,2º,8.47,6.41
E,peak 7,3º,8.53,5.49
E,peak 7,4º,8.77,
E,peak 7,5º,8.86,
E,peak 8,1º,4.66,5.01
E,peak 8,2º,4.67,4.3
E,peak 8,3º,4.82,4.57
E,peak 8,4º,4.65,
E,peak 8,5º,4.7,
E,peak 9,1º,1.92,1.06
E,peak 9,2º,1.55,0.69
E,peak 9,3º,1.83,1.19
E,peak 9,4º,1.82,
E,peak 9,5º,1.67,
E,peak 10,1º,1.83,0.96
E,peak 10,2º,1.54,0.92
E,peak 10,3º,1.79,1.25
E,peak 10,4º,1.61,
E,peak 10,5º,1.8,
F,peak 1,1º,1.49,1.46
F,peak 1,2º,1.76,1.68
F,peak 1,3º,1.62,1.51
F,peak 1,4º,1.52,
F,peak 1,5º,1.57,
F,peak 1,6º,1.62,
F,peak 2,1º,10.55,9.12
F,peak 2,2º,11.47,10.9
F,peak 2,3º,11.85,11.45
F,peak 2,4º,10.22,
F,peak 2,5º,11.71,
F,peak 2,6º,10.66,
F,peak 3,1º,1.37,0.88
F,peak 3,2º,1.36,0.4
F,peak 3,3º,1.34,1.05
F,peak 3,4º,1.32,
F,peak 3,5º,1.42,
F,peak 3,6º,1.25,
F,peak 4,1º,54.49,63.02
F,peak 4,2º,55.72,60.12
F,peak 4,3º,55.76,57.19
F,peak 4,4º,54.9,
F,peak 4,5º,55.78,
F,peak 4,6º,56.56,
F,peak 5,1º,6.97,5.78
F,peak 5,2º,6.49,5.91
F,peak 5,3º,7.16,6.19
F,peak 5,4º,7.44,
F,peak 5,5º,7.43,
F,peak 5,6º,7.69,
F,peak 6,1º,8.15,7.24
F,peak 6,2º,7.64,7.81
F,peak 6,3º,7.51,7.34
F,peak 6,4º,7.99,
F,peak 6,5º,7.07,
F,peak 6,6º,6.47,
F,peak 7,1º,8.59,6.03
F,peak 7,2º,9.05,6.8
F,peak 7,3º,8.77,8.38
F,peak 7,4º,8.88,
F,peak 7,5º,8.71,
F,peak 7,6º,8.38,
F,peak 8,1º,4.53,4.61
F,peak 8,2º,4.12,4.51
F,peak 8,3º,4.07,4.72
F,peak 8,4º,4.54,
F,peak 8,5º,4.07,
F,peak 8,6º,4.39,
F,peak 9,1º,1.83,1.15
F,peak 9,2º,1.34,0.66
F,peak 9,3º,1.17,1.22
F,peak 9,4º,1.62,
F,peak 9,5º,1.13,
F,peak 9,6º,1.81,
F,peak 10,1º,2.02,0.71
F,peak 10,2º,1.05,1.2
F,peak 10,3º,0.74,0.96
F,peak 10,4º,1.55,
F,peak 10,5º,1.11,
F,peak 10,6º,1.16,
