Type,Method,Peak,Analysis,Area
Purified,F,peak 10,2º,1.2
Purified,F,peak 10,3º,0.96
Non-purified,A,peak 1,1º,1.96
Non-purified,A,peak 1,2º,1.85
Non-purified,A,peak 1,3º,1.68
Non-purified,A,peak 1,4º,1.52
Non-purified,A,peak 2,1º,10.11
Non-purified,A,peak 2,2º,10.14
Non-purified,A,peak 2,3º,10.32
Non-purified,A,peak 2,4º,10.63
Non-purified,A,peak 3,1º,0.52
Non-purified,A,peak 3,2º,0.6
Non-purified,A,peak 3,3º,0.89
Non-purified,A,peak 3,4º,1.22
Non-purified,A,peak 4,1º,54.82
Non-purified,A,peak 4,2º,55.49
Non-purified,A,peak 4,3º,55.18
Non-purified,A,peak 4,4º,55.01
Non-purified,A,peak 5,1º,7.43
Non-purified,A,peak 5,2º,7.67
Non-purified,A,peak 5,3º,7.71
Non-purified,A,peak 5,4º,7.33
Non-purified,A,peak 6,1º,7.95
Non-purified,A,peak 6,2º,7.72
Non-purified,A,peak 6,3º,7.25
Non-purified,A,peak 6,4º,6.69
Non-purified,A,peak 7,1º,8.67
Non-purified,A,peak 7,2º,8.55
Non-purified,A,peak 7,3º,8.65
Non-purified,A,peak 7,4º,9.64
Non-purified,A,peak 8,1º,5.04
Non-purified,A,peak 8,2º,4.77
Non-purified,A,peak 8,3º,4.69
Non-purified,A,peak 8,4º,4.49
Non-purified,A,peak 9,1º,1.95
Non-purified,A,peak 9,2º,1.92
Non-purified,A,peak 9,3º,1.65
Non-purified,A,peak 9,4º,1.78
Non-purified,A,peak 10,1º,1.56
Non-purified,A,peak 10,2º,1.3
Non-purified,A,peak 10,3º,1.97
Non-purified,A,peak 10,4º,1.68
Non-purified,B,peak 1,1º,1.73
Non-purified,B,peak 1,2º,1.54
Non-purified,B,peak 1,3º,1.66
Non-purified,B,peak 1,4º,1.74
Non-purified,B,peak 2,1º,9.97
Non-purified,B,peak 2,2º,9.9
Non-purified,B,peak 2,3º,10.02
Non-purified,B,peak 2,4º,11
Non-purified,B,peak 3,1º,0.72
Non-purified,B,peak 3,2º,0.64
Non-purified,B,peak 3,3º,0.42
Non-purified,B,peak 3,4º,1.1
Non-purified,B,peak 4,1º,54.66
Non-purified,B,peak 4,2º,55.9
Non-purified,B,peak 4,3º,54.99
Non-purified,B,peak 4,4º,54.67
Non-purified,B,peak 5,1º,6.55
Non-purified,B,peak 5,2º,7.17
Non-purified,B,peak 5,3º,6.81
Non-purified,B,peak 5,4º,8.39
Non-purified,B,peak 6,1º,9.73
Non-purified,B,peak 6,2º,8.58
Non-purified,B,peak 6,3º,8.77
